Item_Type,Item_Weight,Item_MRP,Item_Outlet_Sales,Timestamp,Item_Identifier,Item_Fat_Content,Item_Visibility,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,MRP_Range,Price_Range
Breakfast,9.0,56.3614,1547.3192,,FDP49,Regular,0.069088961,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very Low,Very Low
Health and Hygiene,11.8,115.3492,1621.8888,,NCB42,Low Fat,0.008596051,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Low,Low
Breakfast,9.0,54.3614,718.3982,,FDP49,Regular,0.069196376,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very Low,Very Low
Hard Drinks,,113.2834,2303.668,,DRI11,Low Fat,0.034237682,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Dairy,13.35,230.5352,2748.4224,,FDU02,Low Fat,0.10249212,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very High,Very High
Snack Foods,18.85,250.8724,3775.086,,FDN22,Regular,0.138190277,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very High,Very High
Baking Goods,,144.5444,4064.0432,,FDW12,Regular,0.035399923,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Medium,Medium
Household,14.6,196.5084,1587.2672,,NCB30,Low Fat,0.025698134,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very High,Very High
Baking Goods,,107.6938,214.3876,,FDC37,Low Fat,0.057556998,OUT019,1985.0,Small,Tier 1,Grocery Store,Low,Low
Frozen Foods,13.85,165.021,4078.025,,FDR28,Regular,0.025896485,OUT046,1997.0,Small,Tier 1,Supermarket Type1,High,High
Household,13.0,45.906,838.908,,NCD06,Low Fat,0.099887103,OUT017,2007.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Snack Foods,7.645,42.3112,1065.28,,FDV10,Regular,0.066693437,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very Low,Very Low
Hard Drinks,11.65,39.1164,308.9312,,DRJ59,low fat,0.019356132,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very Low,Very Low
Dairy,5.925,45.5086,178.4344,,FDE51,Regular,0.161466534,OUT010,1998.0,,Tier 3,Grocery Store,Very Low,Very Low
Canned,,43.6454,125.8362,,FDC14,Regular,0.072221801,OUT019,1985.0,Small,Tier 1,Grocery Store,Very Low,Very Low
Dairy,19.25,55.7956,163.7868,,FDV38,Low Fat,0.170348551,OUT010,1998.0,,Tier 3,Grocery Store,Very Low,Very Low
Health and Hygiene,18.6,96.4436,2741.7644,,NCS17,Low Fat,0.080829372,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Low,Low
Snack Foods,18.7,256.6672,3068.0064,,FDP33,Low Fat,0.0,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Breads,17.85,93.1436,2174.5028,,FDO23,Low Fat,0.0,OUT045,2002.0,,Tier 2,Supermarket Type1,Low,Low
Soft Drinks,17.5,174.8738,2085.2856,,DRH01,Low Fat,0.097904029,OUT046,1997.0,Small,Tier 1,Supermarket Type1,High,High
Health and Hygiene,10.0,146.7102,3791.0652,,NCX29,Low Fat,0.089291137,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Medium,Medium
Fruits and Vegetables,,128.0678,2797.6916,,FDV20,Regular,0.059511812,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Medium,Medium
Soft Drinks,8.85,122.5388,1609.9044,,DRZ11,Regular,0.113123893,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Medium,Medium
Snack Foods,,36.9874,388.1614,,FDX10,Regular,0.123111453,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very Low,Very Low
Snack Foods,,87.6198,2180.495,,FDB34,Low Fat,0.026480954,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Dairy,13.35,230.6352,3435.528,,FDU02,Low Fat,0.102511504,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very High,Very High
Meat,9.8,126.002,2150.534,,FDK43,Low Fat,0.02681843,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Snack Foods,13.6,192.9136,2527.3768,,FDA46,Low Fat,0.117818348,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,High,High
Canned,21.35,259.9278,6768.5228,,FDC02,Low Fat,0.069102831,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Canned,12.15,126.5046,373.5138,,FDL50,Regular,0.042277867,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Dairy,6.42,178.1002,358.2004,,FDM39,LF,0.089498926,OUT010,1998.0,,Tier 3,Grocery Store,High,High
Health and Hygiene,19.6,153.3024,2428.8384,,NCP05,Low Fat,0.0,OUT045,2002.0,,Tier 2,Supermarket Type1,Medium,Medium
Canned,10.0,265.2226,5815.0972,,FDV49,Low Fat,0.025879577,OUT045,2002.0,,Tier 2,Supermarket Type1,Very High,Very High
Baking Goods,15.85,60.622,2576.646,,FDL12,Regular,0.121632721,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very Low,Very Low
Dairy,,196.8794,780.3176,,FDS02,Regular,0.255394896,OUT019,1985.0,Small,Tier 1,Grocery Store,Very High,Very High
Health and Hygiene,7.39,143.8812,3134.5864,,NCL17,Low Fat,0.067779712,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Medium,Medium
Frozen Foods,10.195,141.5154,850.8924,,FDM40,Low Fat,0.159803853,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Canned,9.895,117.0492,810.9444,,FDR13,Regular,0.028696932,OUT013,1987.0,High,Tier 3,Supermarket Type1,Low,Low
Fruits and Vegetables,10.895,196.3794,3121.2704,,FDA43,Low Fat,0.065041581,OUT017,2007.0,,Tier 2,Supermarket Type1,Very High,Very High
Household,12.15,151.4708,4815.0656,,NCP18,Low Fat,0.028760013,OUT017,2007.0,,Tier 2,Supermarket Type1,Medium,Medium
Snack Foods,7.905,249.0408,6258.52,,FDK21,Low Fat,0.010053105,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Household,9.195,106.1622,2117.244,,NCX54,Low Fat,0.048157338,OUT045,2002.0,,Tier 2,Supermarket Type1,Low,Low
Hard Drinks,8.365,38.0506,796.9626,,DRK35,Low Fat,0.071958197,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very Low,Very Low
Snack Foods,15.1,194.511,4910.275,,FDY21,Low Fat,0.173481304,OUT046,1997.0,Small,Tier 1,Supermarket Type1,High,High
Canned,,180.0344,892.172,,FDI26,Low Fat,0.061082177,OUT019,1985.0,Small,Tier 1,Grocery Store,High,High
Fruits and Vegetables,10.0,246.9144,3185.1872,,FDM20,Low Fat,0.0,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Meat,7.97,87.3514,1062.6168,,FDV27,Regular,0.040071131,OUT045,2002.0,,Tier 2,Supermarket Type1,Low,Low
Fruits and Vegetables,,38.2848,484.7024,,FDF09,Low Fat,0.012090074,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very Low,Very Low
Frozen Foods,,51.0692,147.8076,,FDY40,Regular,0.15028599,OUT019,1985.0,Small,Tier 1,Grocery Store,Very Low,Very Low
Snack Foods,,255.8356,2543.356,,FDY45,Low Fat,0.026015519,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very High,Very High
Snack Foods,17.7,185.4266,184.4266,,FDC46,LF,0.195068226,OUT010,1998.0,,Tier 3,Grocery Store,High,High
Meat,19.35,172.5738,4865.6664,,FDH19,Low Fat,0.033082215,OUT035,2004.0,Small,Tier 2,Supermarket Type1,High,High
Dairy,13.65,186.024,1118.544,,FDZ03,Regular,0.078946455,OUT045,2002.0,,Tier 2,Supermarket Type1,High,High
Soft Drinks,17.6,164.8526,2302.3364,,DRH37,Low Fat,0.041700756,OUT045,2002.0,,Tier 2,Supermarket Type1,High,High
Health and Hygiene,8.645,95.841,2027.361,,NCI17,Low Fat,0.143422643,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Low,Low
Snack Foods,15.6,170.1764,3435.528,,FDJ58,Regular,0.105296072,OUT046,1997.0,Small,Tier 1,Supermarket Type1,High,High
Baking Goods,15.85,59.222,599.22,,FDL12,Regular,0.121531501,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very Low,Very Low
Starchy Foods,18.25,164.7526,4604.6728,,FDH35,Low Fat,0.0,OUT045,2002.0,,Tier 2,Supermarket Type1,High,High
Canned,7.855,189.6188,2285.0256,,FDG02,Low Fat,0.011324862,OUT017,2007.0,,Tier 2,Supermarket Type1,High,High
Household,7.825,254.3698,5580.7356,,NCZ18,low fat,0.186357148,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very High,Very High
Frozen Foods,8.39,114.0176,2290.352,,FDC29,Regular,0.024205661,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Low,Low
Snack Foods,12.85,172.3422,1207.0954,,FDQ10,Low Fat,0.033230816,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,High,High
Baking Goods,,89.9804,643.1628,,FDN48,Low Fat,0.113720344,OUT019,1985.0,Small,Tier 1,Grocery Store,Low,Low
Frozen Foods,19.0,104.9622,1587.933,,FDL04,Low Fat,0.112556507,OUT017,2007.0,,Tier 2,Supermarket Type1,Low,Low
Canned,5.905,222.5456,5305.0944,,FDV25,Low Fat,0.0,OUT045,2002.0,,Tier 2,Supermarket Type1,Very High,Very High
Snack Foods,7.76,101.87,1697.79,,FDD58,Low Fat,0.059352241,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Low,Low
Frozen Foods,11.8,180.3344,1427.4752,,FDN04,reg,0.014087057,OUT046,1997.0,Small,Tier 1,Supermarket Type1,High,High
Snack Foods,16.75,187.9556,4693.89,,FDV45,low fat,0.045230944,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,High,High
Household,,194.6136,583.2408,,NCL18,Low Fat,0.293417759,OUT019,1985.0,Small,Tier 1,Grocery Store,High,High
Baking Goods,,171.3764,3091.9752,,FDR12,Regular,0.031382044,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,High,High
Fruits and Vegetables,15.5,177.0028,2479.4392,,FDG20,Regular,0.12639886,OUT017,2007.0,,Tier 2,Supermarket Type1,High,High
Fruits and Vegetables,6.055,160.992,2716.464,,FDZ55,Low Fat,0.025403898,OUT035,2004.0,Small,Tier 2,Supermarket Type1,High,High
Breakfast,,155.963,3285.723,,FDQ49,Regular,0.039057677,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Medium,Medium
Snack Foods,6.305,95.6436,661.8052,,FDN33,Regular,0.123115764,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Low,Low
Meat,20.85,117.2808,1523.3504,,FDN27,Low Fat,0.039624006,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Low,Low
Fruits and Vegetables,20.75,122.173,369.519,,FDW20,Low Fat,0.040421193,OUT010,1998.0,,Tier 3,Grocery Store,Medium,Medium
Dairy,8.895,39.9138,690.4346,,DRG27,Low Fat,0.105274111,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very Low,Very Low
Soft Drinks,19.6,55.1614,1381.535,,DRI25,Low Fat,0.033970195,OUT045,2002.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Fruits and Vegetables,19.7,57.893,622.523,,FDA44,Low Fat,0.053212652,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very Low,Very Low
Health and Hygiene,9.8,114.5492,1274.3412,,NCR17,Low Fat,0.024378706,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Low,Low
Frozen Foods,,120.0414,487.3656,,FDU04,Low Fat,0.009714595,OUT019,1985.0,Small,Tier 1,Grocery Store,Medium,Medium
Frozen Foods,12.15,246.046,1231.73,,FDF41,Low Fat,0.131383762,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very High,Very High
Fruits and Vegetables,8.75,187.4556,3755.112,,FDB56,Regular,0.07461309,OUT035,2004.0,Small,Tier 2,Supermarket Type1,High,High
Household,,149.9708,4363.6532,,NCP18,Low Fat,0.028459761,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Medium,Medium
Fruits and Vegetables,8.75,187.8556,1314.2892,,FDB56,Regular,0.074627201,OUT046,1997.0,Small,Tier 1,Supermarket Type1,High,High
Frozen Foods,13.3,151.0708,1805.6496,,FDT28,Low Fat,0.063695084,OUT045,2002.0,,Tier 2,Supermarket Type1,Medium,Medium
Snack Foods,,178.5344,2854.9504,,FDD10,Regular,0.045797829,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,High,High
Snack Foods,8.31,179.1028,3896.2616,,FDW57,Regular,0.115857223,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,High,High
Soft Drinks,16.75,38.7822,667.7974,,DRB48,Regular,0.024832806,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very Low,Very Low
Snack Foods,19.75,212.0902,3185.853,,FDP09,Low Fat,0.034027909,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Canned,17.1,141.1838,2247.7408,,FDH14,Regular,0.0467696,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Baking Goods,10.5,163.121,1794.331,,FDA47,Regular,0.116576702,OUT013,1987.0,High,Tier 3,Supermarket Type1,High,High
Baking Goods,6.635,121.3098,2530.7058,,FDG12,Regular,0.0,OUT045,2002.0,,Tier 2,Supermarket Type1,Medium,Medium
Soft Drinks,,225.372,679.116,,DRE60,low fat,0.278974075,OUT019,1985.0,Small,Tier 1,Grocery Store,Very High,Very High
Soft Drinks,14.15,41.4138,812.276,,DRK49,Low Fat,0.035913805,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very Low,Very Low
Dairy,13.3,232.53,699.09,,FDD03,Low Fat,0.079806266,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very High,Very High
Frozen Foods,8.89,102.4016,2732.4432,,FDS52,low fat,0.005505481,OUT017,2007.0,,Tier 2,Supermarket Type1,Low,Low
Meat,,176.937,176.437,,FDW39,Regular,0.064625342,OUT019,1985.0,Small,Tier 1,Grocery Store,High,High
Snack Foods,,121.7098,4097.3332,,FDX34,Low Fat,0.071636937,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Medium,Medium
Breads,9.1,173.2054,3151.8972,,FDV11,Regular,0.0,OUT045,2002.0,,Tier 2,Supermarket Type1,High,High
Frozen Foods,7.5,239.0906,5942.265,,FDD17,Low Fat,0.032677678,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very High,Very High
Frozen Foods,16.85,192.4478,4843.695,,FDZ16,Regular,0.160760054,OUT017,2007.0,,Tier 2,Supermarket Type1,High,High
Snack Foods,7.485,109.0228,2542.0244,,FDZ46,Low Fat,0.06911065,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Low,Low
Soft Drinks,11.6,140.3154,2552.6772,,DRA12,Low Fat,0.041177505,OUT017,2007.0,,Tier 2,Supermarket Type1,Medium,Medium
Snack Foods,11.65,227.0694,1141.847,,FDY58,Low Fat,0.040081193,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Household,13.0,47.5034,680.4476,,NCF19,Low Fat,0.035307322,OUT017,2007.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Soft Drinks,12.65,159.0578,2085.9514,,DRJ13,LF,0.063017847,OUT045,2002.0,,Tier 2,Supermarket Type1,Medium,Medium
Canned,20.25,92.512,186.424,,FDB14,Regular,0.171938781,OUT010,1998.0,,Tier 3,Grocery Store,Low,Low
Canned,8.6,190.153,3036.048,,FDJ38,Regular,0.040197932,OUT035,2004.0,Small,Tier 2,Supermarket Type1,High,High
Breads,12.6,62.7194,866.8716,,FDW11,Low Fat,0.049058014,OUT017,2007.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Frozen Foods,17.7,95.041,868.869,,FDL40,Low Fat,0.01161096,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Low,Low
Soft Drinks,14.15,82.4276,1137.1864,,DRI49,Low Fat,0.183507295,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very Low,Very Low
Dairy,19.25,52.7956,928.1252,,FDV38,Low Fat,0.102349519,OUT017,2007.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Hard Drinks,8.88,151.7682,762.341,,DRG23,Low Fat,0.086708987,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Household,20.5,40.2822,707.0796,,NCP30,Low Fat,0.032835147,OUT045,2002.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Canned,,180.5976,7968.2944,,FDY25,Low Fat,0.033809913,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,High,High
Household,13.5,160.292,1438.128,,NCH54,Low Fat,0.07266912,OUT046,1997.0,Small,Tier 1,Supermarket Type1,High,High
Health and Hygiene,,224.4404,6976.2524,,NCR53,Low Fat,0.144338493,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very High,Very High
Frozen Foods,8.89,101.7016,101.2016,,FDS52,Low Fat,0.009163216,OUT010,1998.0,,Tier 3,Grocery Store,Low,Low
Canned,7.855,188.5188,952.094,,FDG02,Low Fat,0.011307038,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,High,High
Household,7.235,116.0492,1969.4364,,NCO26,Low Fat,0.076855628,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Low,Low
Starchy Foods,,165.4526,5262.4832,,FDH35,Low Fat,0.059956876,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,High,High
Dairy,6.92,60.5852,1314.2892,,FDB51,Low Fat,0.038532062,OUT045,2002.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Fruits and Vegetables,9.3,90.8172,535.3032,,FDX44,Low Fat,0.043209581,OUT017,2007.0,,Tier 2,Supermarket Type1,Low,Low
Others,18.5,132.1284,263.6568,,NCN07,Low Fat,0.056816465,OUT010,1998.0,,Tier 3,Grocery Store,Medium,Medium
Household,8.02,154.5972,1402.1748,,NCC31,Low Fat,0.019866705,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Medium,Medium
Household,9.195,105.1622,1693.7952,,NCX54,Low Fat,0.048331717,OUT017,2007.0,,Tier 2,Supermarket Type1,Low,Low
Others,12.8,105.5938,2143.876,,NCO55,Low Fat,0.091221855,OUT045,2002.0,,Tier 2,Supermarket Type1,Low,Low
Household,16.6,177.6344,2676.516,,NCC30,Low Fat,0.027622076,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,High,High
Frozen Foods,14.0,53.064,905.488,,FDI16,Regular,0.0,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very Low,Very Low
Frozen Foods,18.6,246.3802,7370.406,,FDP16,Low Fat,0.039355947,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very High,Very High
Starchy Foods,16.0,226.8404,6301.1312,,FDB11,Low Fat,0.060836524,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very High,Very High
Health and Hygiene,17.6,160.692,1597.92,,NCB06,Low Fat,0.082316506,OUT035,2004.0,Small,Tier 2,Supermarket Type1,High,High
Snack Foods,21.25,178.237,529.311,,FDA45,Low Fat,0.155350299,OUT035,2004.0,Small,Tier 2,Supermarket Type1,High,High
Household,7.235,117.5492,1969.4364,,NCO26,Low Fat,0.076841095,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Low,Low
Soft Drinks,14.6,50.3692,1034.6532,,DRJ25,Low Fat,0.151419185,OUT017,2007.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Frozen Foods,13.85,161.521,1794.331,,FDR28,reg,0.026001976,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,High,High
Frozen Foods,13.65,197.6426,2768.3964,,FDI04,Regular,0.073209447,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Soft Drinks,,31.29,898.83,,DRK12,Low Fat,0.041683481,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very Low,Very Low
Fruits and Vegetables,7.365,226.172,3169.208,,FDX20,Low Fat,0.042560252,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very High,Very High
Household,18.35,223.5746,3589.9936,,NCI18,Low Fat,0.014081156,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Baking Goods,5.465,132.5626,262.3252,,FDB36,Regular,0.0,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Medium,Medium
Breakfast,18.6,99.8358,1910.1802,,FDN13,Low Fat,0.152918384,OUT017,2007.0,,Tier 2,Supermarket Type1,Low,Low
Soft Drinks,13.85,140.9154,1701.7848,,DRD24,Low Fat,0.030969274,OUT017,2007.0,,Tier 2,Supermarket Type1,Medium,Medium
Frozen Foods,14.0,154.5656,2471.4496,,FDQ28,Regular,0.060376776,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Snack Foods,14.0,54.764,1331.6,,FDM22,Regular,0.04192285,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very Low,Very Low
Fruits and Vegetables,,97.0094,1808.9786,,FDR07,Low Fat,0.077367431,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Canned,5.905,222.5456,3315.684,,FDV25,Low Fat,0.045838211,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Soft Drinks,7.27,114.2518,2618.5914,,DRF49,Low Fat,0.071077939,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Low,Low
Meat,6.155,214.556,2769.728,,FDW51,Regular,0.094659871,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very High,Very High
Soft Drinks,19.5,233.4958,5375.0034,,DRL01,Regular,0.077608838,OUT017,2007.0,,Tier 2,Supermarket Type1,Very High,Very High
Canned,15.2,216.8824,2838.9712,,FDP25,Low Fat,0.021327477,OUT017,2007.0,,Tier 2,Supermarket Type1,Very High,Very High
Canned,12.15,125.0046,1743.0644,,FDL50,Regular,0.042485444,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Medium,Medium
Household,,198.8084,5555.4352,,NCB30,Low Fat,0.025578526,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very High,Very High
Breads,12.6,61.9194,619.194,,FDW11,Low Fat,0.0489808,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very Low,Very Low
Others,14.5,164.821,2120.573,,NCM43,Low Fat,0.019471688,OUT035,2004.0,Small,Tier 2,Supermarket Type1,High,High
Fruits and Vegetables,16.6,173.0738,3823.0236,,FDK44,Low Fat,0.122918852,OUT017,2007.0,,Tier 2,Supermarket Type1,High,High
Meat,11.8,151.4366,1360.2294,,FDM15,Regular,0.057373797,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Fruits and Vegetables,13.1,178.8318,3969.4996,,FDS31,Regular,0.044155597,OUT013,1987.0,High,Tier 3,Supermarket Type1,High,High
Fruits and Vegetables,17.7,115.1834,345.5502,,FDI32,Low Fat,0.291865402,OUT010,1998.0,,Tier 3,Grocery Store,Low,Low
Breads,17.85,196.5794,585.2382,,FDR47,LF,0.0,OUT010,1998.0,,Tier 3,Grocery Store,Very High,Very High
Starchy Foods,12.3,92.6804,1010.6844,,FDB35,Regular,0.064750025,OUT045,2002.0,,Tier 2,Supermarket Type1,Low,Low
Health and Hygiene,11.8,81.4618,161.1236,,NCU05,Low Fat,0.098312421,OUT010,1998.0,,Tier 3,Grocery Store,Very Low,Very Low
Soft Drinks,,42.1112,42.6112,,DRY23,Regular,0.191013663,OUT019,1985.0,Small,Tier 1,Grocery Store,Very Low,Very Low
Baking Goods,11.1,157.4604,3010.7476,,FDO24,Low Fat,0.176573035,OUT045,2002.0,,Tier 2,Supermarket Type1,Medium,Medium
Frozen Foods,,153.0656,6024.1584,,FDQ28,Regular,0.060134441,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Medium,Medium
Meat,11.3,198.1426,988.713,,FDV39,Low Fat,0.007294652,OUT045,2002.0,,Tier 2,Supermarket Type1,Very High,Very High
Health and Hygiene,,117.944,239.688,,NCO17,Low Fat,0.128478462,OUT019,1985.0,Small,Tier 1,Grocery Store,Low,Low
Dairy,5.75,112.8176,1374.2112,,FDU50,Regular,0.075107656,OUT013,1987.0,High,Tier 3,Supermarket Type1,Low,Low
Baking Goods,,226.8062,4739.8302,,FDT12,Regular,0.049381406,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very High,Very High
Snack Foods,11.35,100.0016,1012.016,,FDK58,Regular,0.045165796,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Low,Low
Fruits and Vegetables,,165.7526,657.8104,,FDO08,Regular,0.09415375,OUT019,1985.0,Small,Tier 1,Grocery Store,High,High
