Item_Name,Category,Item_Weight,Item_MRP,Item_Outlet_Sales,Timestamp,Shelf_Life_Days,Seasonal_Demand,Packaging_Type,Trending_Score,Outlet_Type,Fat_Content,Establishment_Year,Tier,Visibility
Yogurt,Dairy Products,0.53,1.65,130.76,2025-01-11 08:54:45.782731,30,High,Packaged,8.607255102147093,Supermarket Type1,Low Fat,2012,Tier 1,0.8432571303960762
White Rice,Grains and Cereals,0.9299999999999999,2.8,578.9399999999999,2025-01-11 08:54:45.783094,365,Low,Packaged,6.036694882835551,Supermarket Type1,Regular,2010,Tier 1,0.9089867435631072
Yogurt,Dairy Products,0.51,2.25,186.23,2025-01-11 08:54:45.783433,28,High,Packaged,9.372767042374843,Supermarket Type1,Low Fat,2012,Tier 1,0.8325531073009964
White Rice,Grains and Cereals,0.98,2.96,222.97,2025-01-11 08:54:45.783798,367,Low,Packaged,5.274221317877231,Supermarket Type2,Regular,2015,Tier 2,0.8198011417041642
Quinoa,Grains and Cereals,0.48,6.46,71.08,2025-01-11 08:54:45.784139,371,Medium,Packaged,8.22312666777616,Supermarket Type1,Regular,2010,Tier 1,0.8572244295527951
Yogurt,Dairy Products,0.55,1.63,161.1,2025-01-11 08:54:45.784530,13,High,Packaged,9.031563046342828,Supermarket Type1,Low Fat,2012,Tier 1,0.8306765714586388
Low-Fat Milk,Dairy Products,1.05,2.8200000000000003,591.8299999999999,2025-01-11 08:54:45.784920,23,Medium,Packaged,7.28830265705628,Supermarket Type2,Low Fat,2015,Tier 2,0.9788204746055541
Banana,Fruits and Vegetables,0.16999999999999998,1.78,243.52,2025-01-11 08:54:45.785292,1,Medium,Loose,7.501299890528942,Supermarket Type2,Regular,2015,Tier 2,0.8597793839628853
Chocolate Cookies,Packaged Snacks,0.26,3.48,198.09,2025-01-11 08:54:45.785662,113,High,Packaged,8.972502787056296,Supermarket Type1,Regular,2012,Tier 1,0.8607113669226563
Potato Chips,Packaged Snacks,0.16,1.99,264.27,2025-01-11 08:54:45.786018,82,High,Packaged,7.691650613695879,Supermarket Type2,Regular,2015,Tier 2,0.9525348522270954
White Rice,Grains and Cereals,1.04,2.59,160.1,2025-01-11 08:54:45.786395,369,Low,Packaged,5.955018297493398,Supermarket Type2,Regular,2015,Tier 2,0.6790772426677679
Banana,Fruits and Vegetables,0.04999999999999999,2.0,615.03,2025-01-11 08:54:45.786765,14,Medium,Loose,6.763890392432352,Supermarket Type2,Regular,2015,Tier 2,0.897541958614812
Energy Bars,Packaged Snacks,0.24,2.14,231.5,2025-01-11 08:54:45.787134,149,High,Packaged,9.317477320203482,Supermarket Type1,Regular,2010,Tier 1,0.9753615634846369
Banana,Fruits and Vegetables,0.21,1.97,151.73,2025-01-11 08:54:45.787496,13,Medium,Loose,7.387071784275327,Supermarket Type2,Regular,2015,Tier 2,0.8352822956344702
White Rice,Grains and Cereals,0.9299999999999999,2.27,184.27,2025-01-11 08:54:45.787855,372,Low,Packaged,6.454946644870574,Supermarket Type2,Regular,2015,Tier 2,0.8035323206749182
Potato Chips,Packaged Snacks,0.2,2.48,236.19,2025-01-11 08:54:45.788231,85,High,Packaged,8.290773295078505,Supermarket Type2,Regular,2015,Tier 2,0.9580661612674947
White Rice,Grains and Cereals,1.09,2.66,130.14,2025-01-11 08:54:45.788633,368,Low,Packaged,5.809247098580784,Supermarket Type2,Regular,2015,Tier 2,0.7770241790786009
White Rice,Grains and Cereals,0.98,2.17,616.63,2025-01-11 08:54:45.789004,363,Low,Packaged,6.413199268901417,Supermarket Type1,Regular,2010,Tier 1,0.9328616877138496
Brown Rice,Grains and Cereals,1.1,2.96,169.97,2025-01-11 08:54:45.789356,171,Low,Packaged,7.393236406944013,Supermarket Type1,Regular,2012,Tier 1,0.733139262411479
White Rice,Grains and Cereals,0.98,2.24,171.19,2025-01-11 08:54:45.789716,366,Low,Packaged,5.387233564527698,Supermarket Type2,Regular,2015,Tier 2,0.6887453015424886
Whole Milk,Dairy Products,0.95,3.07,294.06,2025-01-11 08:54:45.790111,9,Medium,Packaged,8.159535148706308,Supermarket Type1,Full Fat,2010,Tier 1,1.0
Apple,Fruits and Vegetables,0.12000000000000001,2.04,148.81,2025-01-11 08:54:45.790517,21,High,Loose,7.8924898829809935,Supermarket Type1,Regular,2010,Tier 1,0.8806955785513826
Spinach,Fruits and Vegetables,0.38,2.5100000000000002,126.14,2025-01-11 08:54:45.790889,13,Medium,Loose,7.876107218437356,Supermarket Type1,Regular,2010,Tier 1,0.8456259413207001
Low-Fat Milk,Dairy Products,1.01,3.27,595.79,2025-01-11 08:54:45.791264,4,Medium,Packaged,7.323375258347706,Supermarket Type2,Low Fat,2015,Tier 2,0.862556481994979
White Rice,Grains and Cereals,0.98,2.74,607.5,2025-01-11 08:54:45.791594,365,Low,Packaged,6.339128084072738,Supermarket Type1,Regular,2010,Tier 1,0.8850948342369378
Brown Rice,Grains and Cereals,0.91,2.93,197.59,2025-01-11 08:54:45.791968,171,Low,Packaged,7.294750277715508,Supermarket Type1,Regular,2012,Tier 1,0.8504259665398454
Mixed Nuts,Packaged Snacks,0.19,5.24,192.79,2025-01-11 08:54:45.792376,172,Medium,Packaged,6.377646794618755,Supermarket Type3,Regular,2018,Tier 3,0.8423629789037808
Mixed Nuts,Packaged Snacks,0.32,5.5,146.54,2025-01-11 08:54:45.792783,185,Medium,Packaged,7.169674187274111,Supermarket Type3,Regular,2018,Tier 3,0.8944286066463518
Broccoli,Fruits and Vegetables,0.47000000000000003,3.92,81.5,2025-01-11 08:54:45.793171,3,Low,Loose,5.410546733171673,Supermarket Type2,Regular,2015,Tier 2,0.7694226767979093
Potato Chips,Packaged Snacks,0.22,2.07,291.36,2025-01-11 08:54:45.793549,91,High,Packaged,8.18253509211261,Supermarket Type2,Regular,2015,Tier 2,0.8688578845245123
White Rice,Grains and Cereals,0.98,2.32,559.0799999999999,2025-01-11 08:54:45.793895,374,Low,Packaged,5.548387688957828,Supermarket Type1,Regular,2010,Tier 1,0.8491404640050028
Spinach,Fruits and Vegetables,0.24,1.9800000000000002,69.43,2025-01-11 08:54:45.794299,1,Medium,Loose,6.884561603962597,Supermarket Type1,Regular,2010,Tier 1,0.9192919070063399
Banana,Fruits and Vegetables,0.15,2.11,540.9899999999999,2025-01-11 08:54:45.794669,1,Medium,Loose,6.323402089177212,Supermarket Type2,Regular,2015,Tier 2,0.9115224901803392
Energy Bars,Packaged Snacks,0.09,2.9699999999999998,193.55,2025-01-11 08:54:45.795018,140,High,Packaged,8.132073839132156,Supermarket Type1,Regular,2010,Tier 1,0.920187395363164
Low-Fat Milk,Dairy Products,1.08,3.18,539.4699999999999,2025-01-11 08:54:45.795412,8,Medium,Packaged,8.108110435347518,Supermarket Type2,Low Fat,2015,Tier 2,0.8258051233738629
Apple,Fruits and Vegetables,0.28,2.52,178.34,2025-01-11 08:54:45.795791,13,High,Loose,8.474122121527765,Supermarket Type1,Regular,2010,Tier 1,0.7619005861219941
Spinach,Fruits and Vegetables,0.37,2.66,88.88,2025-01-11 08:54:45.796158,6,Medium,Loose,6.398193464482759,Supermarket Type1,Regular,2010,Tier 1,0.8975942423749788
Apple,Fruits and Vegetables,0.22,2.44,116.47,2025-01-11 08:54:45.796549,10,High,Loose,7.345873847963164,Supermarket Type1,Regular,2010,Tier 1,0.7935026946206865
Butter,Dairy Products,0.27,4.54,161.09,2025-01-11 08:54:45.796905,39,Medium,Packaged,6.59741850433267,Supermarket Type3,Full Fat,2018,Tier 3,0.789814057440457
White Rice,Grains and Cereals,1.08,2.7800000000000002,604.49,2025-01-11 08:54:45.797295,364,Low,Packaged,6.541790628082703,Supermarket Type1,Regular,2010,Tier 1,0.787348391262066
Butter,Dairy Products,0.28,4.29,149.89,2025-01-11 08:54:45.797689,37,Medium,Packaged,7.791250044421668,Supermarket Type3,Full Fat,2018,Tier 3,0.823706460087795
White Rice,Grains and Cereals,0.96,2.44,536.04,2025-01-11 08:54:45.798061,360,Low,Packaged,6.041610594320153,Supermarket Type1,Regular,2010,Tier 1,0.828463340235235
Spinach,Fruits and Vegetables,0.25,2.31,46.59,2025-01-11 08:54:45.798449,1,Medium,Loose,7.036134016174275,Supermarket Type1,Regular,2010,Tier 1,0.9312693213064538
Broccoli,Fruits and Vegetables,0.44,3.27,150.01,2025-01-11 08:54:45.798831,4,Low,Loose,5.622803799176072,Supermarket Type2,Regular,2015,Tier 2,0.6477776819944323
Orange,Fruits and Vegetables,0.09999999999999999,2.04,217.19,2025-01-11 08:54:45.799185,19,High,Loose,6.19640072875782,Supermarket Type1,Regular,2012,Tier 1,0.8269598875012765
Butter,Dairy Products,0.32,4.86,163.16,2025-01-11 08:54:45.799546,32,Medium,Packaged,6.751599688499879,Supermarket Type3,Full Fat,2018,Tier 3,0.8169147868130778
Chocolate Cookies,Packaged Snacks,0.29,3.5,206.19,2025-01-11 08:54:45.799934,121,High,Packaged,9.92302029775555,Supermarket Type1,Regular,2012,Tier 1,0.9168225465098214
Brown Rice,Grains and Cereals,0.96,2.73,117.3,2025-01-11 08:54:45.800325,184,Low,Packaged,7.50484998319696,Supermarket Type1,Regular,2012,Tier 1,0.7133689543090462
Orange,Fruits and Vegetables,0.09999999999999999,1.81,145.59,2025-01-11 08:54:45.800719,29,High,Loose,5.237120270753536,Supermarket Type1,Regular,2012,Tier 1,0.8780408158465303
White Rice,Grains and Cereals,0.9299999999999999,2.9,135.28,2025-01-11 08:54:45.801089,368,Low,Packaged,5.804365055897097,Supermarket Type2,Regular,2015,Tier 2,0.6802577527919743
Apple,Fruits and Vegetables,0.18000000000000002,2.64,183.03,2025-01-11 08:54:45.801442,13,High,Loose,8.1961837801614,Supermarket Type1,Regular,2010,Tier 1,0.8557777047162833
Banana,Fruits and Vegetables,0.16999999999999998,1.54,205.74,2025-01-11 08:54:45.801800,14,Medium,Loose,6.529557553068341,Supermarket Type2,Regular,2015,Tier 2,0.9428537428074468
Mixed Nuts,Packaged Snacks,0.27,5.23,183.39,2025-01-11 08:54:45.802149,180,Medium,Packaged,7.566320805865882,Supermarket Type3,Regular,2018,Tier 3,0.8356913323222112
White Rice,Grains and Cereals,1.02,2.15,577.4699999999999,2025-01-11 08:54:45.802495,367,Low,Packaged,6.443175872286043,Supermarket Type1,Regular,2010,Tier 1,0.9465368360631389
Whole Milk,Dairy Products,1.03,3.29,339.46,2025-01-11 08:54:45.802852,6,Medium,Packaged,9.662839054178718,Supermarket Type1,Full Fat,2010,Tier 1,0.9544312793730966
Kiwi,Fruits and Vegetables,0.11,2.96,71.3,2025-01-11 08:54:45.803200,13,Low,Packaged,5.0840567684182485,Supermarket Type3,Regular,2018,Tier 3,0.5919924617672842
Energy Bars,Packaged Snacks,0.10999999999999999,2.12,158.37,2025-01-11 08:54:45.803545,141,High,Packaged,8.068582285683275,Supermarket Type1,Regular,2010,Tier 1,0.9931800128417057
White Rice,Grains and Cereals,1.05,2.7800000000000002,585.9699999999999,2025-01-11 08:54:45.803893,357,Low,Packaged,5.934937064854218,Supermarket Type1,Regular,2010,Tier 1,0.9073034221796927
Oats,Grains and Cereals,0.54,3.04,184.46,2025-01-11 08:54:45.804262,176,High,Packaged,7.8186282031615635,Supermarket Type3,Regular,2018,Tier 3,0.9103636693420644
Mixed Nuts,Packaged Snacks,0.16999999999999998,5.18,204.71,2025-01-11 08:54:45.804659,182,Medium,Packaged,6.7098833674530916,Supermarket Type3,Regular,2018,Tier 3,0.9611532924887951
Oats,Grains and Cereals,0.5700000000000001,3.31,204.85,2025-01-11 08:54:45.805020,188,High,Packaged,8.909325411022767,Supermarket Type3,Regular,2018,Tier 3,0.7811171329827955
Kiwi,Fruits and Vegetables,0.16,3.07,101.03999999999999,2025-01-11 08:54:45.805460,11,Low,Packaged,5.586494072046531,Supermarket Type3,Regular,2018,Tier 3,0.60768092602296
Banana,Fruits and Vegetables,0.16,1.79,581.3599999999999,2025-01-11 08:54:45.805975,10,Medium,Loose,6.286588772812452,Supermarket Type2,Regular,2015,Tier 2,0.9892028083114087
Energy Bars,Packaged Snacks,0.21,2.68,191.61,2025-01-11 08:54:45.806413,147,High,Packaged,8.410512823927967,Supermarket Type1,Regular,2010,Tier 1,0.875192770844959
Butter,Dairy Products,0.22,4.36,146.46,2025-01-11 08:54:45.806756,35,Medium,Packaged,7.735495082675656,Supermarket Type3,Full Fat,2018,Tier 3,0.8623844177736042
White Rice,Grains and Cereals,1.1,2.05,566.9399999999999,2025-01-11 08:54:45.807069,366,Low,Packaged,6.439260558417934,Supermarket Type1,Regular,2010,Tier 1,0.9146139954127985
Oats,Grains and Cereals,0.49,3.0,143.16,2025-01-11 08:54:45.807373,170,High,Packaged,8.945741854026569,Supermarket Type3,Regular,2018,Tier 3,0.9210570418941691
Butter,Dairy Products,0.16,4.84,158.05,2025-01-11 08:54:45.807747,39,Medium,Packaged,6.762567420763313,Supermarket Type3,Full Fat,2018,Tier 3,0.7213125230406712
Energy Bars,Packaged Snacks,0.16,2.62,218.92000000000002,2025-01-11 08:54:45.808106,148,High,Packaged,8.307906122147326,Supermarket Type1,Regular,2010,Tier 1,0.8532406383801252
White Rice,Grains and Cereals,0.97,2.9,542.67,2025-01-11 08:54:45.808536,369,Low,Packaged,5.503162587795087,Supermarket Type1,Regular,2010,Tier 1,0.842698923740991
Energy Bars,Packaged Snacks,0.22,2.5,157.28,2025-01-11 08:54:45.808901,146,High,Packaged,9.276512545270487,Supermarket Type1,Regular,2010,Tier 1,0.9311171928360638
Kiwi,Fruits and Vegetables,0.1,3.38,163.96,2025-01-11 08:54:45.809258,12,Low,Packaged,4.5739551253679895,Supermarket Type3,Regular,2018,Tier 3,0.678559038648026
Apple,Fruits and Vegetables,0.18000000000000002,2.84,164.53,2025-01-11 08:54:45.809625,21,High,Loose,8.21199355038188,Supermarket Type1,Regular,2010,Tier 1,0.803541072768249
Whole Milk,Dairy Products,0.98,3.66,286.67,2025-01-11 08:54:45.809987,10,Medium,Packaged,9.170657470426496,Supermarket Type1,Full Fat,2010,Tier 1,0.9983124445982374
Quinoa,Grains and Cereals,0.43,6.35,162.23,2025-01-11 08:54:45.810481,362,Medium,Packaged,9.927259591814664,Supermarket Type1,Regular,2010,Tier 1,0.8317697676855192
Quinoa,Grains and Cereals,0.45,5.89,166.43,2025-01-11 08:54:45.810859,370,Medium,Packaged,8.745495372977816,Supermarket Type1,Regular,2010,Tier 1,0.7325351190458842
Kiwi,Fruits and Vegetables,0.09000000000000001,3.11,151.17000000000002,2025-01-11 08:54:45.811197,22,Low,Packaged,5.977000207943221,Supermarket Type3,Regular,2018,Tier 3,0.6877097006014848
Mixed Nuts,Packaged Snacks,0.22,4.9,168.24,2025-01-11 08:54:45.811542,189,Medium,Packaged,6.707233666372038,Supermarket Type3,Regular,2018,Tier 3,0.7895812884733785
Butter,Dairy Products,0.16999999999999998,4.21,181.26,2025-01-11 08:54:45.811929,35,Medium,Packaged,6.342353836176482,Supermarket Type3,Full Fat,2018,Tier 3,0.7229663549098401
White Rice,Grains and Cereals,0.97,2.67,527.67,2025-01-11 08:54:45.812288,357,Low,Packaged,5.489677450579583,Supermarket Type1,Regular,2010,Tier 1,0.8923959424774348
Spinach,Fruits and Vegetables,0.25,1.81,125.37,2025-01-11 08:54:45.812691,13,Medium,Loose,6.67001573668122,Supermarket Type1,Regular,2010,Tier 1,0.8695176220033204
Cheese,Dairy Products,0.26,5.2,199.26,2025-01-11 08:54:45.813091,60,Low,Packaged,7.158681571314989,Supermarket Type1,Full Fat,2010,Tier 1,0.870779583758124
Mixed Nuts,Packaged Snacks,0.3,5.16,220.6,2025-01-11 08:54:45.813426,177,Medium,Packaged,7.455713082283464,Supermarket Type3,Regular,2018,Tier 3,0.9676652444140462
Brown Rice,Grains and Cereals,1.07,2.58,195.87,2025-01-11 08:54:45.813766,178,Low,Packaged,6.195533350248987,Supermarket Type1,Regular,2012,Tier 1,0.8775158554907434
Banana,Fruits and Vegetables,0.16999999999999998,1.79,179.25,2025-01-11 08:54:45.814157,12,Medium,Loose,7.336818063041334,Supermarket Type2,Regular,2015,Tier 2,0.9442126199804164
Orange,Fruits and Vegetables,0.19,1.57,132.47,2025-01-11 08:54:45.814497,29,High,Loose,6.752499326033241,Supermarket Type1,Regular,2012,Tier 1,0.6851079338675804
Brown Rice,Grains and Cereals,0.9,2.51,198.36,2025-01-11 08:54:45.814876,172,Low,Packaged,7.380338243567212,Supermarket Type1,Regular,2012,Tier 1,0.7389491386891743
Banana,Fruits and Vegetables,0.06999999999999999,2.13,607.7099999999999,2025-01-11 08:54:45.815309,11,Medium,Loose,7.318660913078028,Supermarket Type2,Regular,2015,Tier 2,0.9548219008692241
Oats,Grains and Cereals,0.52,3.7,205.66,2025-01-11 08:54:45.815648,181,High,Packaged,8.722867685411922,Supermarket Type3,Regular,2018,Tier 3,0.851750826079259
Yogurt,Dairy Products,0.5700000000000001,1.66,160.57,2025-01-11 08:54:45.816029,23,High,Packaged,9.579640036559399,Supermarket Type1,Low Fat,2012,Tier 1,0.8536153301454503
Banana,Fruits and Vegetables,0.18,2.2800000000000002,599.37,2025-01-11 08:54:45.816431,11,Medium,Loose,6.670884668336443,Supermarket Type2,Regular,2015,Tier 2,0.8664007626249668
Chocolate Cookies,Packaged Snacks,0.21999999999999997,2.81,264.45,2025-01-11 08:54:45.816770,124,High,Packaged,8.559304439840172,Supermarket Type1,Regular,2012,Tier 1,0.936038847906323
Low-Fat Milk,Dairy Products,1.08,3.56,280.59,2025-01-11 08:54:45.817134,22,Medium,Packaged,8.710298823359835,Supermarket Type2,Low Fat,2015,Tier 2,0.9010810550514495
Whole Milk,Dairy Products,1.02,3.42,291.33,2025-01-11 08:54:45.817523,16,Medium,Packaged,9.70979381001894,Supermarket Type1,Full Fat,2010,Tier 1,0.9852828557340442
Low-Fat Milk,Dairy Products,0.92,3.1700000000000004,289.72,2025-01-11 08:54:45.817854,16,Medium,Packaged,7.604015266138587,Supermarket Type2,Low Fat,2015,Tier 2,0.9687228689400942
Banana,Fruits and Vegetables,0.16,1.59,152.27,2025-01-11 08:54:45.818234,2,Medium,Loose,6.752460856484131,Supermarket Type2,Regular,2015,Tier 2,0.8425965474641741
Mixed Nuts,Packaged Snacks,0.32,5.02,199.43,2025-01-11 08:54:45.818621,179,Medium,Packaged,6.560340504622801,Supermarket Type3,Regular,2018,Tier 3,0.9718675514902639
Low-Fat Milk,Dairy Products,1.06,3.14,587.81,2025-01-11 08:54:45.818951,4,Medium,Packaged,7.575667298055745,Supermarket Type2,Low Fat,2015,Tier 2,0.9058562232121873
Orange,Fruits and Vegetables,0.13,2.21,144.19,2025-01-11 08:54:45.819348,30,High,Loose,6.357446353010863,Supermarket Type1,Regular,2012,Tier 1,0.8649910836055388
Banana,Fruits and Vegetables,0.09,1.3800000000000001,520.6899999999999,2025-01-11 08:54:45.819710,11,Medium,Loose,6.2147961903488875,Supermarket Type2,Regular,2015,Tier 2,0.8901778928701293
Energy Bars,Packaged Snacks,0.22,2.01,207.16,2025-01-11 08:54:45.820030,159,High,Packaged,8.840636460875537,Supermarket Type1,Regular,2010,Tier 1,0.9983287879064193
Spinach,Fruits and Vegetables,0.35,1.8000000000000003,57.5,2025-01-11 08:54:45.820492,12,Medium,Loose,7.033272247828519,Supermarket Type1,Regular,2010,Tier 1,0.7840326137662349
Low-Fat Milk,Dairy Products,1.03,3.1500000000000004,269.53,2025-01-11 08:54:45.820857,8,Medium,Packaged,7.963268959723856,Supermarket Type2,Low Fat,2015,Tier 2,0.8607922378592282
Orange,Fruits and Vegetables,0.09,1.87,199.73,2025-01-11 08:54:45.821172,13,High,Loose,5.3184512960404255,Supermarket Type1,Regular,2012,Tier 1,0.7874389472236705
Brown Rice,Grains and Cereals,1.0,3.03,101.82,2025-01-11 08:54:45.821552,171,Low,Packaged,6.291230456619935,Supermarket Type1,Regular,2012,Tier 1,0.8894147026895489
Apple,Fruits and Vegetables,0.29000000000000004,2.14,162.41,2025-01-11 08:54:45.821884,4,High,Loose,8.056419969705054,Supermarket Type1,Regular,2010,Tier 1,0.8214022088859866
Banana,Fruits and Vegetables,0.18,1.35,230.69,2025-01-11 08:54:45.822186,14,Medium,Loose,6.282775243402876,Supermarket Type2,Regular,2015,Tier 2,1.0
Cheese,Dairy Products,0.38,5.49,245.35,2025-01-11 08:54:45.822527,65,Low,Packaged,8.819954016834917,Supermarket Type1,Full Fat,2010,Tier 1,0.7817818126576387
Potato Chips,Packaged Snacks,0.22,1.85,285.52,2025-01-11 08:54:45.822881,95,High,Packaged,7.741281847287971,Supermarket Type2,Regular,2015,Tier 2,0.8472576342967718
Cheese,Dairy Products,0.35,5.1,201.88,2025-01-11 08:54:45.823190,64,Low,Packaged,7.689564557441237,Supermarket Type1,Full Fat,2010,Tier 1,0.8975708392464803
Apple,Fruits and Vegetables,0.25,2.99,128.4,2025-01-11 08:54:45.823491,14,High,Loose,8.257405516641507,Supermarket Type1,Regular,2010,Tier 1,0.7684555806426033
Cheese,Dairy Products,0.37,5.07,189.43,2025-01-11 08:54:45.823861,66,Low,Packaged,7.738443268444438,Supermarket Type1,Full Fat,2010,Tier 1,0.9011797392644438
Kiwi,Fruits and Vegetables,0.13,3.01,73.18,2025-01-11 08:54:45.824238,19,Low,Packaged,4.556781128702904,Supermarket Type3,Regular,2018,Tier 3,0.6645157064644329
Low-Fat Milk,Dairy Products,1.0,3.33,226.1,2025-01-11 08:54:45.824609,10,Medium,Packaged,7.568946783822761,Supermarket Type2,Low Fat,2015,Tier 2,0.817456664483167
Quinoa,Grains and Cereals,0.43,5.91,134.02,2025-01-11 08:54:45.824959,355,Medium,Packaged,9.324681889090034,Supermarket Type1,Regular,2010,Tier 1,0.7850839112382495
Whole Milk,Dairy Products,0.97,3.32,339.55,2025-01-11 08:54:45.825323,7,Medium,Packaged,8.861862541926238,Supermarket Type1,Full Fat,2010,Tier 1,0.968299853056522
Quinoa,Grains and Cereals,0.56,5.77,74.93,2025-01-11 08:54:45.825652,365,Medium,Packaged,8.908963174626283,Supermarket Type1,Regular,2010,Tier 1,0.7400156411437139
Butter,Dairy Products,0.27,4.24,190.9,2025-01-11 08:54:45.826010,36,Medium,Packaged,6.038821017355282,Supermarket Type3,Full Fat,2018,Tier 3,0.8554357532306319
Apple,Fruits and Vegetables,0.21000000000000002,2.07,170.0,2025-01-11 08:54:45.826401,19,High,Loose,7.916996855388523,Supermarket Type1,Regular,2010,Tier 1,0.9198555870839957
Low-Fat Milk,Dairy Products,1.02,3.1900000000000004,205.92000000000002,2025-01-11 08:54:45.826730,23,Medium,Packaged,7.619001844655648,Supermarket Type2,Low Fat,2015,Tier 2,0.973706731245548
Spinach,Fruits and Vegetables,0.25,1.7500000000000002,105.24,2025-01-11 08:54:45.827074,3,Medium,Loose,6.074110129255034,Supermarket Type1,Regular,2010,Tier 1,0.8966267701574798
Apple,Fruits and Vegetables,0.29000000000000004,2.58,146.51,2025-01-11 08:54:45.827413,15,High,Loose,8.745900841445673,Supermarket Type1,Regular,2010,Tier 1,0.7780558871988973
Quinoa,Grains and Cereals,0.54,5.77,158.63,2025-01-11 08:54:45.827777,360,Medium,Packaged,8.798535215536381,Supermarket Type1,Regular,2010,Tier 1,0.9088695693434407
Broccoli,Fruits and Vegetables,0.43000000000000005,3.49,129.93,2025-01-11 08:54:45.828133,5,Low,Loose,5.764336352672107,Supermarket Type2,Regular,2015,Tier 2,0.721563796792239
Low-Fat Milk,Dairy Products,1.09,2.71,235.69,2025-01-11 08:54:45.828524,17,Medium,Packaged,7.939703908643039,Supermarket Type2,Low Fat,2015,Tier 2,0.8704960220158046
Brown Rice,Grains and Cereals,0.96,2.96,110.18,2025-01-11 08:54:45.828923,175,Low,Packaged,7.276776204060355,Supermarket Type1,Regular,2012,Tier 1,0.7713644647531505
Cheese,Dairy Products,0.26,4.76,221.41,2025-01-11 08:54:45.829300,57,Low,Packaged,8.40686047470215,Supermarket Type1,Full Fat,2010,Tier 1,0.9647604625236977
Butter,Dairy Products,0.33999999999999997,4.15,186.32,2025-01-11 08:54:45.829656,26,Medium,Packaged,7.333044923958015,Supermarket Type3,Full Fat,2018,Tier 3,0.8913925078811074
Orange,Fruits and Vegetables,0.26,1.57,144.26,2025-01-11 08:54:45.830006,14,High,Loose,6.896933432461249,Supermarket Type1,Regular,2012,Tier 1,0.7498061134831296
Potato Chips,Packaged Snacks,0.26,1.52,298.61,2025-01-11 08:54:45.830384,98,High,Packaged,8.127524880970434,Supermarket Type2,Regular,2015,Tier 2,0.9512112786341588
Brown Rice,Grains and Cereals,0.94,2.67,142.3,2025-01-11 08:54:45.830763,182,Low,Packaged,6.799252274459133,Supermarket Type1,Regular,2012,Tier 1,0.694601298173601
Broccoli,Fruits and Vegetables,0.37,3.05,157.4,2025-01-11 08:54:45.831128,1,Low,Loose,5.337167088982749,Supermarket Type2,Regular,2015,Tier 2,0.7626083003759976
White Rice,Grains and Cereals,0.9299999999999999,2.49,227.49,2025-01-11 08:54:45.831469,367,Low,Packaged,6.247281469402991,Supermarket Type2,Regular,2015,Tier 2,0.7521754937911179
Low-Fat Milk,Dairy Products,1.07,3.43,272.38,2025-01-11 08:54:45.831777,10,Medium,Packaged,8.198649400651886,Supermarket Type2,Low Fat,2015,Tier 2,0.8805304688036882
Kiwi,Fruits and Vegetables,0.11,3.08,145.9,2025-01-11 08:54:45.832076,11,Low,Packaged,5.443570308666401,Supermarket Type3,Regular,2018,Tier 3,0.668173530098631
Banana,Fruits and Vegetables,0.22,1.79,540.3599999999999,2025-01-11 08:54:45.832614,9,Medium,Loose,6.976153352828755,Supermarket Type2,Regular,2015,Tier 2,0.8890955680880094
White Rice,Grains and Cereals,0.95,2.44,553.26,2025-01-11 08:54:45.832992,367,Low,Packaged,6.073140038469063,Supermarket Type1,Regular,2010,Tier 1,0.757283077638718
Low-Fat Milk,Dairy Products,1.07,2.79,231.16,2025-01-11 08:54:45.833328,6,Medium,Packaged,7.872820197008789,Supermarket Type2,Low Fat,2015,Tier 2,0.9325225405644095
White Rice,Grains and Cereals,1.01,2.09,603.8599999999999,2025-01-11 08:54:45.833680,361,Low,Packaged,5.077615245093453,Supermarket Type1,Regular,2010,Tier 1,0.9156203422652003
Oats,Grains and Cereals,0.59,3.7,120.8,2025-01-11 08:54:45.834023,187,High,Packaged,7.447277072527916,Supermarket Type3,Regular,2018,Tier 3,0.7923733408290432
White Rice,Grains and Cereals,1.05,2.18,184.4,2025-01-11 08:54:45.834384,357,Low,Packaged,6.439650645840902,Supermarket Type2,Regular,2015,Tier 2,0.8082269163682881
Brown Rice,Grains and Cereals,1.02,2.85,177.14,2025-01-11 08:54:45.834718,170,Low,Packaged,6.926208194457171,Supermarket Type1,Regular,2012,Tier 1,0.8147936175165471
Brown Rice,Grains and Cereals,0.91,3.43,179.24,2025-01-11 08:54:45.835069,174,Low,Packaged,6.173059334479051,Supermarket Type1,Regular,2012,Tier 1,0.8094944004217965
Oats,Grains and Cereals,0.56,3.53,179.22,2025-01-11 08:54:45.835429,188,High,Packaged,8.01590749819795,Supermarket Type3,Regular,2018,Tier 3,0.8796991348189882
Oats,Grains and Cereals,0.48,3.69,156.22,2025-01-11 08:54:45.835758,181,High,Packaged,7.054835067170224,Supermarket Type3,Regular,2018,Tier 3,0.7934780390651703
Kiwi,Fruits and Vegetables,0.14,3.44,140.74,2025-01-11 08:54:45.836066,23,Low,Packaged,4.21543602609704,Supermarket Type3,Regular,2018,Tier 3,0.5730415117087923
Mixed Nuts,Packaged Snacks,0.21,5.3,159.45,2025-01-11 08:54:45.836465,174,Medium,Packaged,7.7093728496296,Supermarket Type3,Regular,2018,Tier 3,0.884313028266837
